,Country,Region,Market,Product,Date,Open,High,Low,Close,Currency
,Kenya,Nairobi,Mukuru (Nairobi),oil,2024-03-01,204.52,211.81,197.23,207.28,KES
,Kenya,Rift Valley,Kajiado,oil,2024-03-01,204.79,210.88,198.71,207.34,KES
,Kenya,Nairobi,Kawangware (Nairobi),oil,2024-03-01,205.09,211.97,198.22,206.89,KES
,Kenya,Nairobi,Kitengela (Kajiado),oil,2024-03-01,205.17,212.59,197.76,207.18,KES
,Kenya,Nairobi,Nairobi,oil,2024-03-01,205.35,212.45,198.26,207.03,KES
,Kenya,Nairobi,Kangemi (Nairobi),oil,2024-03-01,205.61,212.17,199.06,207.28,KES
,Kenya,Nairobi,Mathare (Nairobi),oil,2024-03-01,205.8,213.5,198.1,207.94,KES
,Kenya,Nairobi,Dandora (Nairobi),oil,2024-03-01,205.97,213.05,198.9,208.53,KES
,Kenya,Central,Karatina (Nyeri),oil,2024-03-01,207.66,213.87,201.46,210.77,KES
,Kenya,Eastern,Tala Centre Market (Machakos),oil,2024-03-01,208.19,213.95,202.44,209.41,KES
,Kenya,Rift Valley,Illbissil Food Market (Kajiado),oil,2024-03-01,208.5,215.42,201.57,210.59,KES
,Kenya,Eastern,Makueni,oil,2024-03-01,210.51,217.6,203.43,212.53,KES
,Kenya,Eastern,Wote town (Makueni),oil,2024-03-01,210.57,217.63,203.5,212.64,KES
,Kenya,Eastern,Kathonzweni (Makueni),oil,2024-03-01,211.13,218.21,204.05,213.16,KES
,Kenya,Eastern,Kitui town (Kitui),oil,2024-03-01,212.14,218.39,205.89,216.3,KES
